ID,Term,Term Description,Course Reference Number,Part of Term,Course Number,Subject,Subject Description,Sequence Number,Campus Description,Schedule Type Description,Course Title,Credit Hours,Maximum Enrollment,Enrollment,Seats Available,Wait Capacity,Wait Count,Wait Available,Cross List,Cross List Capacity,Cross List Count,Cross List Available,Credit Hour High,Credit Hour Low,Credit Hour Indicator,Open Section,Link Identifier,Is Section Linked,Subject Course,Instructional Method,Instructional Method Description
157788,202530,Summer 2025,30152,1,401,ADVT,Advertising,01,Online,Fieldwork,Advertising Internship,,40,0,40,0,0,0,A2,40,0,40,,4,,true,,false,ADVT401,RE,Online Synchronous
157789,202530,Summer 2025,30153,1,402,ADVT,Advertising,01,Online,Fieldwork,Industry Internship,,40,0,40,0,0,0,A2,40,0,40,,4,,true,,false,ADVT402,RE,Online Synchronous
157923,202530,Summer 2025,30206,M27,280,ANTH,Anthropology,01,Alaska-Sitka,Fieldwork,"Alaska: Culture, Environment and Tourism",,12,0,12,0,0,0,,,,,,4,,true,,false,ANTH280,IP,In-Person
157065,202530,Summer 2025,30035,1,103,ART,Art,01,Online,Studio,Drawing for Non-Majors,,16,0,16,0,0,0,,,,,,4,,true,,false,ART103,RE,Online Synchronous
157790,202530,Summer 2025,30154,4,103,ART,Art,02,Online,Studio,Drawing for Non-Majors,,16,0,16,0,0,0,,,,,,4,,true,,false,ART103,RE,Online Synchronous
157791,202530,Summer 2025,30155,2,103,ART,Art,03,Online,Studio,Drawing for Non-Majors,,16,0,16,0,0,0,,,,,,4,,true,,false,ART103,IP,In-Person
157792,202530,Summer 2025,30156,1,270,ART,Art,01,Hilltop,Studio,Ceramics I,,14,0,14,0,0,0,,,,,,4,,true,,false,ART270,IP,In-Person
158016,202530,Summer 2025,30226,1,103,BIOL,Biology,01,Hilltop,Lecture,Human Biology,,0,0,0,0,0,0,,,,,,4,,false,,false,BIOL103,OL,Online Asynchronous
157211,202530,Summer 2025,30061,4,201,BUS,Business Administration,01,Hilltop,Lecture,Principles of Financial Accounting,,30,0,30,0,0,0,,,,,,4,,true,,false,BUS201,RE,Online Synchronous
157212,202530,Summer 2025,30062,5,202,BUS,Business Administration,01,Hilltop,Lecture,Principles of Managerial Accounting,,30,0,30,0,0,0,,,,,,4,,true,,false,BUS202,RE,Online Synchronous
157213,202530,Summer 2025,30063,2,204,BUS,Business Administration,01,Hilltop,Lecture,Foundations of Analytics,,30,0,30,0,0,0,,,,,,4,,true,,false,BUS204,RE,Online Synchronous
157214,202530,Summer 2025,30064,2,205,BUS,Business Administration,01,Hilltop,Lecture,Applied Business Technology,,30,0,30,0,0,0,,,,,,2,,true,,false,BUS205,RE,Online Synchronous
157215,202530,Summer 2025,30065,3,302,BUS,Business Administration,01,Hilltop,Lecture,Marketing Principles,,30,0,30,0,0,0,,,,,,4,,true,,false,BUS302,OL,Online Asynchronous
157216,202530,Summer 2025,30066,2,304,BUS,Business Administration,01,Hilltop,Lecture,Foundations of Organizational Behavior,,30,0,30,0,0,0,,,,,,4,,true,,false,BUS304,OL,Online Asynchronous
157217,202530,Summer 2025,30067,4,305,BUS,Business Administration,01,Hilltop,Lecture,Principles of Finance,,30,0,30,0,0,0,,,,,,4,,true,,false,BUS305,RE,Online Synchronous
157218,202530,Summer 2025,30068,3,308,BUS,Business Administration,01,Hilltop,Lecture,Systems in Organizations,,30,0,30,0,0,0,,,,,,4,,true,,false,BUS308,RE,Online Synchronous
157364,202530,Summer 2025,30112,5,333,BUS,Business Administration,01,Hilltop,Lecture,Financial Statement Analysis,,30,0,30,15,0,15,,,,,,4,,true,,false,BUS333,IP,In-Person
157219,202530,Summer 2025,30069,4,403,BUS,Business Administration,01,Hilltop,Lecture,Entrepreneurial Strategy,,30,0,30,0,0,0,,,,,,4,,true,,false,BUS403,RE,Online Synchronous
157282,202530,Summer 2025,30093,M29,640,CEL,Catholic Educational Leadershi,01,Hilltop,Seminar,History and Principles of Catholic Education,,24,0,24,0,0,0,AG,24,0,24,,3,,true,,false,CEL640,IP,In-Person
